modelo,variavel,coef_padron,p
A) log(ADR) — o que permite cobrar caro,is_professional,0.11082560276415485,0.001960650471883382
A) log(ADR) — o que permite cobrar caro,number_of_guests,0.10018143274786741,1.6916982139333496e-05
A) log(ADR) — o que permite cobrar caro,number_of_bedrooms,0.0927271416864874,0.002843405308317696
A) log(ADR) — o que permite cobrar caro,number_of_bathrooms,0.09070570567191798,3.176831515074558e-05
A) log(ADR) — o que permite cobrar caro,log_reviews,-0.0679925864039648,0.00035244687332156504
A) log(ADR) — o que permite cobrar caro,am_piscina,0.0635071995097124,0.06765231089693924
A) log(ADR) — o que permite cobrar caro,am_vista_mar,0.05910185450060248,4.067818584528169e-05
A) log(ADR) — o que permite cobrar caro,star_rating_f,0.04239653954234838,0.0031837789411946053
A) log(ADR) — o que permite cobrar caro,bairro_Morretes,-0.04172326725481708,0.003882617975845113
A) log(ADR) — o que permite cobrar caro,picture_count,0.03802799310438713,0.039818473286462104
A) log(ADR) — o que permite cobrar caro,is_guest_favorite,-0.035167148402648535,0.02926638015249527
A) log(ADR) — o que permite cobrar caro,is_superhost,-0.03305560848425456,0.054985454454030615
A) log(ADR) — o que permite cobrar caro,am_beira_mar,0.031574666594337185,0.030828088300443833
A) log(ADR) — o que permite cobrar caro,bairro_Outro,-0.024942028066540292,0.09090717721672033
A) log(ADR) — o que permite cobrar caro,bairro_Centro,-0.0234922737279431,0.2563552440873206
A) log(ADR) — o que permite cobrar caro,am_churrasqueira,0.02339161779123871,0.10947021348295502
A) log(ADR) — o que permite cobrar caro,cleaning_fee,0.016780826597927588,0.3700816811536449
A) log(ADR) — o que permite cobrar caro,am_academia,-0.01597163408970978,0.6388253972551513
A) log(ADR) — o que permite cobrar caro,am_elevador,-0.015955257323193247,0.27321338495897707
A) log(ADR) — o que permite cobrar caro,am_estacionamento,0.015537078986211272,0.1218882810747229
A) log(ADR) — o que permite cobrar caro,am_maq_lavar,0.015506177776987312,0.27112737903240136
A) log(ADR) — o que permite cobrar caro,tem_rating,-0.008050810413191292,0.6488434596895568
A) log(ADR) — o que permite cobrar caro,host_multi,-0.007109319803984956,0.8136380370850365
A) log(ADR) — o que permite cobrar caro,can_instant_book,0.0009343896830246792,0.9570705100880493
B) pickup ajustado — o que faz vender rapido,am_elevador,0.027175600078723123,0.0044355635647051
B) pickup ajustado — o que faz vender rapido,am_piscina,0.025661347207576134,0.3146114849517705
B) pickup ajustado — o que faz vender rapido,number_of_bedrooms,0.02171927867625374,0.33087046493221706
