bairro,faixa_quartos,noites_ofertadas,noites_vendidas,n_airbnb,pickup,adr,ocup_fev,revpan_pickup,revpan_ocup,receita_fev_obs,amostra_ok,n_vivareal,preco_mediano,preco_p25,area_mediana,preco_m2,condominio,iptu_anual,indice_demanda,investimento,custo_fixo_ano,receita_bruta_conservador_40,receita_liq_conservador_40,roi_conservador_40,payback_conservador_40,receita_bruta_base_55,receita_liq_base_55,roi_base_55,payback_base_55,receita_bruta_otimista_70,receita_liq_otimista_70,roi_otimista_70,payback_otimista_70
Centro,4+,58,22,2,0.3793103448275862,725.0,0.7678571428571429,275.0,556.6964285714286,15587.5,False,380,3600000.0,2698800.0,190.0,18313.95348837209,1000.0,1500.0,1.4917274506315605,4065000.0,13500.0,157899.3506493507,104924.51298701303,0.025811688311688324,38.742138364779855,217111.60714285722,149333.7053571429,0.03673645888244598,27.22091432927512,276323.86363636365,193742.89772727274,0.04766122945320363,20.981414274716816
Morretes,0-1 (compacto),61,20,1,0.3278688524590163,480.0,0.8571428571428571,157.37704918032784,411.4285714285714,11519.999999999998,False,34,750000.0,592500.0,51.0,13000.011627906977,350.0,800.0,1.6651841309375557,864000.0,5000.0,116696.1038961039,82522.07792207792,0.09551166426166426,10.469925403670013,160457.14285714287,115342.85714285716,0.13349867724867726,7.490710923953429,204218.18181818182,148163.63636363635,0.1714856902356902,5.831390354644742
Sertao do Trombudo,4+,33,4,1,0.1212121212121212,1000.0,0.5714285714285714,121.21212121212122,571.4285714285714,16000.0,False,1,3675000.0,3675000.0,213.0,17253.521126760563,370.0,900.0,1.1101227539583705,4178250.0,5340.0,162077.9220779221,116218.44155844157,0.027815099996036995,35.95169530731426,222857.1428571429,161802.85714285716,0.038725030130522864,25.82309159294379,283636.36363636365,207387.27272727274,0.04963496026500873,20.147089766181846
Casa Branca,3,45,10,1,0.2222222222222222,500.0,0.0,111.1111111111111,0.0,0.0,False,6,762057.0,725778.5,70.0,10592.28045112782,350.0,280.0,0.0,905159.85,4480.0,0.0,-4480.0,-0.004949402031033524,-202.044609375,0.0,-4480.0,-0.004949402031033524,-202.044609375,0.0,-4480.0,-0.004949402031033524,-202.044609375
Morretes,3,400,68,9,0.17,650.0,0.6984126984126984,110.5,453.9682539682539,12711.11111111111,False,150,849590.0,723000.0,70.0,11619.565217391304,400.0,800.0,1.3568166992824529,997069.5,5600.0,128761.90476190478,90971.42857142858,0.09123880388621713,10.960248900753768,177047.6190476191,127185.71428571432,0.1275595274809974,7.8394771425362215,225333.33333333334,163400.0,0.16388025107577756,6.1020165238678095
Meia Praia,4+,1474,168,30,0.1139755766621438,899.0,0.4511904761904762,102.4640434192673,405.6202380952381,11357.366666666669,True,1314,3600000.0,2750000.0,188.0,18421.052631578947,950.0,2990.0,0.87653442447963,4062000.0,14390.0,115048.64935064937,71896.48701298703,0.017699775237072137,56.49789257806519,158191.8928571429,104253.91964285717,0.02566566214742914,38.96256384330872,201335.13636363635,136611.35227272726,0.033631549057786134,29.73398573707646
Centro,2,2691,406,47,0.1508732813080639,603.75,0.4817629179331307,91.08974358974358,290.86436170212767,8144.202127659575,True,84,1122500.0,856000.0,85.5,13181.193524096387,500.0,1000.0,0.9359279601191581,1306875.0,7000.0,82499.7098646035,54874.782398452626,0.04198931221306753,23.81558418784457,113437.10106382982,78077.82579787236,0.05974391261434518,16.738106967568925,144374.4922630561,101280.86919729208,0.07749851301562283,12.90347338404301
Meia Praia,3,11912,1644,230,0.1380120886501007,656.0,0.4762422360248447,90.53593015446609,312.41490683229813,8747.617391304348,True,1657,1882000.0,1560000.0,129.0,14924.791666666666,600.0,1500.0,0.9252028495625876,2169600.0,8700.0,88612.22811970639,57759.17108977979,0.026622036822354252,37.56286593219307,121841.81366459631,82681.36024844724,0.03810903403781676,26.240497174703233,155071.39920948615,107603.54940711461,0.04959603125327923,20.162903658422895
Centro,3,1309,165,27,0.1260504201680672,699.0,0.5185185185185185,88.10924369747899,362.4444444444444,10148.444444444443,True,431,2100000.0,1750000.0,131.0,15789.473684210529,617.0,1300.0,1.007333610073336,2401500.0,8704.0,102802.42424242424,68397.81818181818,0.028481290102776672,35.11076908354334,141353.33333333337,97311.00000000003,0.040520924422236114,24.678607762740075,179904.2424242424,126224.1818181818,0.052560558741695525,19.02567293689583
Canto da Praia,2,136,21,2,0.1544117647058823,550.5,0.2321428571428571,85.00367647058823,127.79464285714286,3578.25,False,13,1225000.0,1216999.0,88.0,14459.770114942528,1.0,1.0,0.45098736879558793,1418250.0,13.0,36247.20779220779,27172.40584415584,0.019159108650911926,52.19449496427395,49839.91071428572,37366.93303571429,0.026347211729747428,37.954680375948314,63432.613636363625,47561.46022727272,0.03353531480858292,29.819311543903066
