bairro,faixa_quartos,noites_ofertadas,noites_vendidas,n_airbnb,pickup,adr,ocup_fev,revpan_pickup,revpan_ocup,receita_fev_obs,amostra_ok,n_vivareal,preco_mediano,area_mediana,preco_m2,condominio,iptu_anual,indice_demanda,investimento,custo_fixo_ano,roi_conservador_40,liq_conservador_40,roi_base_55,liq_base_55,roi_otimista_70,liq_otimista_70,versao
Centro,4+,58,22,2,0.3793103448275862,725.0,0.7678571428571429,275.0,556.6964285714286,15587.5,False,312,3600000.0,191.5,18362.155388471176,758.0,350.0,1.4917274506315605,4067250.0,9446.0,0.026794151573425042,108978.512987013,0.03771287856835525,153387.7053571429,0.048631605563285454,197796.89772727276,corrigida
Morretes,0-1 (compacto),61,20,1,0.3278688524590163,480.0,0.8571428571428571,157.37704918032784,411.4285714285714,11519.999999999998,False,23,750000.0,60.0,13083.333333333334,250.0,100.0,1.6651841309375557,877500.0,3100.0,0.0962074962074962,84422.07792207792,0.13361009361009366,117242.85714285717,0.171012691012691,150063.63636363635,corrigida
Sertao do Trombudo,4+,33,4,1,0.1212121212121212,1000.0,0.5714285714285714,121.21212121212122,571.4285714285714,16000.0,False,1,3675000.0,213.0,17253.521126760563,510.0,1200.0,1.1101227539583705,4178250.0,7320.0,0.02734121738968266,114238.44155844157,0.03825114752416853,159822.85714285716,0.0491610776586544,205407.27272727274,corrigida
Casa Branca,3,45,10,1,0.2222222222222222,500.0,0.0,111.1111111111111,0.0,0.0,False,6,762057.0,70.0,10592.28045112782,325.0,340.0,0.0,905159.85,4240.0,-0.004684255493656728,-4240.0,-0.004684255493656728,-4240.0,-0.004684255493656728,-4240.0,corrigida
Morretes,3,400,68,9,0.17,650.0,0.6984126984126984,110.5,453.9682539682539,12711.11111111111,False,133,849380.0,70.0,11414.285714285714,400.0,800.0,1.3568166992824529,996849.0,5600.0,0.09125898563516499,90971.42857142858,0.1275877432647415,127185.71428571432,0.16391650089431803,163400.00000000003,corrigida
Meia Praia,4+,1474,168,30,0.1139755766621438,899.0,0.4511904761904762,102.4640434192673,405.6202380952381,11357.366666666669,True,1335,3359000.0,187.0,17228.72340425532,887.0,2500.0,0.87653442447963,3807450.0,13144.0,0.01921036048089588,73142.48701298703,0.02770881289126769,105499.91964285717,0.03620726530163949,137857.35227272726,corrigida
Centro,2,2691,406,47,0.1508732813080639,603.75,0.4817629179331307,91.08974358974358,290.86436170212767,8144.202127659575,True,66,1213500.0,86.0,13681.18572292801,500.0,925.0,0.9359279601191581,1403175.0,6925.0,0.03916103294204402,54949.78239845262,0.0556971338556291,78152.82579787236,0.07223323476921416,101355.86919729208,corrigida
Meia Praia,3,11912,1644,230,0.1380120886501007,656.0,0.4762422360248447,90.53593015446609,312.41490683229813,8747.617391304348,True,2018,1799000.0,128.0,14169.273182957393,600.0,1500.0,0.9252028495625876,2080950.0,8700.0,0.027756155164602603,57759.17108977979,0.03973250690715645,82681.3602484472,0.05170885864971029,107603.54940711462,corrigida
Centro,3,1309,165,27,0.1260504201680672,699.0,0.5185185185185185,88.10924369747899,362.4444444444444,10148.444444444443,True,366,2101500.0,131.0,16035.710285714285,600.0,1300.0,1.007333610073336,2403075.0,8500.0,0.028547514406257888,68601.81818181818,0.04057925782591055,97515.0,0.05261100124556321,126428.18181818182,corrigida
Canto da Praia,2,136,21,2,0.1544117647058823,550.5,0.2321428571428571,85.00367647058823,127.79464285714286,3578.25,False,13,1225000.0,88.0,14459.770114942528,1.0,1.0,0.45098736879558793,1418250.0,13.0,0.019159108650911926,27172.40584415584,0.026347211729747428,37366.93303571429,0.03353531480858292,47561.46022727272,corrigida
Meia Praia,0-1 (compacto),906,155,17,0.1710816777041942,490.0,0.5336134453781513,83.8300220750552,261.4705882352941,7321.176470588234,False,43,850000.0,40.0,19250.0,625.0,1050.0,1.0366587481817136,952500.0,8550.0,0.04941934397237778,47071.92513368984,0.07131773969430294,67930.14705882355,0.09321613541622804,88788.36898395722,corrigida
Tabuleiro dos Oliveiras,2,375,78,7,0.208,400.0,0.5051020408163265,83.2,202.0408163265306,5657.142857142857,False,86,781919.5,68.0,11989.27536231884,350.0,900.0,0.9812692200167739,923015.475,5100.0,0.041038956401824894,37879.5918367347,0.05850057798382005,53996.93877551021,0.07596219956581521,70114.28571428571,corrigida
Meia Praia,2,4203,621,90,0.1477516059957173,450.0,0.5666666666666667,66.4882226980728,255.0,7140.0,True,314,1054136.5,86.0,12234.70661672909,480.0,825.0,1.1008717310087175,1235843.325,6585.0,0.03856512680962577,47660.45454545455,0.05502517885914061,68002.50000000003,0.0714852309086554,88344.54545454546,corrigida
Centro,0-1 (compacto),4079,610,69,0.1495464574650649,440.0,0.4296066252587991,65.80044128462859,189.02691511387164,5292.753623188406,False,10,895000.0,42.0,21964.285714285714,500.0,1000.0,0.8346031574143545,1002750.0,7000.0,0.0331200998496371,33211.180124223596,0.04815793834037143,48290.372670807454,0.06319577683110578,63369.56521739131,corrigida
Tabuleiro dos Oliveiras,3,134,13,2,0.0970149253731343,585.0,0.1964285714285714,56.75373134328358,114.91071428571428,3217.5,False,13,810000.0,70.0,11571.42857142857,350.0,1307.5,0.3816046966731898,955500.0,5507.5,0.019819092472153695,18937.142857142855,0.029412751364281977,28103.883928571428,0.03900641025641026,37270.625,corrigida
Morretes,2,2007,216,36,0.1076233183856502,430.0,0.4613095238095238,46.2780269058296,198.36309523809524,5554.166666666667,True,731,795000.0,68.0,11843.357142857143,350.0,700.0,0.8961928482476428,936750.0,4900.0,0.03981557540404618,37297.240259740254,0.05670798543596782,53121.205357142855,0.07360039546788946,68945.17045454546,corrigida
Casa Branca,2,100,8,2,0.08,227.5,0.4642857142857143,18.2,105.625,2957.5,False,16,655000.0,70.0,9735.300207039338,325.0,340.0,0.9019747375911761,792750.0,4240.0,0.022995040279808494,18229.318181818184,0.03362385682749922,26655.31250000001,0.04425267337518994,35081.30681818182,corrigida
Canto da Praia,3,20,0,1,0.0,307.625,0.8928571428571429,0.0,274.6651785714286,7690.625000000001,False,54,1677500.0,116.0,15255.332902391727,515.0,525.0,1.734566803059954,1935375.0,6705.0,0.026725453387921906,51723.77435064936,0.0380466652365267,73634.56473214287,0.0493678770851315,95545.35511363637,corrigida
Ilhota,4+,48,0,1,0.0,946.0,0.0,0.0,0.0,0.0,False,18,2845125.0,154.0,18474.83766233766,950.0,2000.0,0.0,3218381.25,13400.0,-0.004163583789210803,-13400.0,-0.004163583789210803,-13400.0,-0.004163583789210803,-13400.0,corrigida
Morretes,4+,62,0,2,0.0,795.0,0.7142857142857143,0.0,567.8571428571429,15900.0,False,47,5997880.0,187.0,26744.924623115578,995.0,2200.0,1.3876534424479632,6578274.0,14140.0,0.016213782110429165,106658.70129870131,0.02310001290394932,151958.21428571432,0.029986243697469474,197257.7272727273,corrigida
Tabuleiro dos Oliveiras,4+,48,0,1,0.0,1700.0,0.3571428571428571,0.0,607.1428571428571,17000.0,False,1,4085460.0,226.0,18077.256637168142,350.0,900.0,0.6938267212239815,4628733.0,5100.0,0.026801252989931402,124055.84415584416,0.03726490288255679,172489.2857142857,0.04772855277518216,220922.72727272726,corrigida
