bairro,faixa_quartos,noites_ofertadas,noites_vendidas,n_airbnb,pickup,adr,ocup_fev,revpan_pickup,revpan_ocup,receita_fev_obs,amostra_ok
Centro,4+,58,22,2,0.3793103448275862,725.0,0.7678571428571429,275.0,556.6964285714286,15587.5,False
Morretes,0-1 (compacto),61,20,1,0.32786885245901637,480.0,0.8571428571428571,157.37704918032784,411.4285714285714,11519.999999999998,False
Sertao do Trombudo,4+,33,4,1,0.12121212121212122,1000.0,0.5714285714285714,121.21212121212122,571.4285714285714,16000.0,False
Casa Branca,3,45,10,1,0.2222222222222222,500.0,0.0,111.1111111111111,0.0,0.0,False
Morretes,3,400,68,9,0.17,650.0,0.6984126984126984,110.50000000000001,453.9682539682539,12711.11111111111,False
Meia Praia,4+,1474,168,30,0.11397557666214382,899.0,0.4511904761904762,102.4640434192673,405.6202380952381,11357.366666666667,True
Centro,2,2691,406,47,0.1508732813080639,603.75,0.4817629179331307,91.08974358974358,290.86436170212767,8144.202127659575,True
Meia Praia,3,11912,1644,230,0.13801208865010073,656.0,0.4762422360248447,90.53593015446607,312.41490683229813,8747.617391304348,True
Centro,3,1309,165,27,0.12605042016806722,699.0,0.5185185185185185,88.10924369747899,362.4444444444444,10148.444444444443,True
Canto da Praia,2,136,21,2,0.15441176470588236,550.5,0.23214285714285715,85.00367647058823,127.79464285714286,3578.25,False
Meia Praia,0-1 (compacto),906,155,17,0.17108167770419427,490.0,0.5336134453781513,83.8300220750552,261.4705882352941,7321.176470588234,False
Tabuleiro dos Oliveiras,2,375,78,7,0.208,400.0,0.5051020408163265,83.2,202.0408163265306,5657.142857142857,False
Meia Praia,2,4203,621,90,0.14775160599571735,450.0,0.5666666666666667,66.4882226980728,255.0,7140.0,True
Centro,0-1 (compacto),4079,610,69,0.14954645746506498,440.0,0.42960662525879917,65.80044128462859,189.02691511387164,5292.753623188406,True
Tabuleiro dos Oliveiras,3,134,13,2,0.09701492537313433,585.0,0.19642857142857142,56.75373134328358,114.91071428571428,3217.5,False
Morretes,2,2007,216,36,0.10762331838565023,430.0,0.46130952380952384,46.2780269058296,198.36309523809524,5554.166666666667,True
Casa Branca,2,100,8,2,0.08,227.5,0.4642857142857143,18.2,105.625,2957.5,False
Canto da Praia,3,20,0,1,0.0,307.625,0.8928571428571429,0.0,274.6651785714286,7690.625000000001,False
Ilhota,4+,48,0,1,0.0,946.0,0.0,0.0,0.0,0.0,False
Morretes,4+,62,0,2,0.0,795.0,0.7142857142857143,0.0,567.8571428571429,15900.0,False
Tabuleiro dos Oliveiras,4+,48,0,1,0.0,1700.0,0.35714285714285715,0.0,607.1428571428571,17000.0,False
