alvo,modelo,r2_medio,desvio,pct_folds_pos
ADR  [CONTROLE POSITIVO],media (baseline),-0.0085571354621543,0.012297113438855466,0.0
ADR  [CONTROLE POSITIVO],OLS,0.41580709730188464,0.08843123241066295,1.0
ADR  [CONTROLE POSITIVO],Ridge (CV),0.42233906990976294,0.0757960463314652,1.0
ADR  [CONTROLE POSITIVO],Lasso (CV),0.417371103524613,0.07475479681335208,1.0
ADR  [CONTROLE POSITIVO],RandomForest,0.43116460508927246,0.057241109970023824,1.0
ADR  [CONTROLE POSITIVO],GradBoost,0.41042437898565454,0.07639433012156735,1.0
pickup ajustado,media (baseline),-0.012086516255579265,0.020942065610979506,0.0
pickup ajustado,OLS,-0.05440854640760838,0.0650422057386309,0.2
pickup ajustado,Ridge (CV),-0.0019702008978244347,0.02761933042701118,0.6
pickup ajustado,Lasso (CV),-0.008464265861160851,0.028628118507028795,0.46
pickup ajustado,RandomForest,-0.07136204148138085,0.07661876046395574,0.16
pickup ajustado,GradBoost,-0.2560583076965409,0.19501875730429213,0.0
RevPAN (pickup),media (baseline),-0.012707338858811963,0.019706261891224708,0.0
RevPAN (pickup),OLS,-0.049586394846989214,0.07576701010903947,0.2
RevPAN (pickup),Ridge (CV),0.00811583624188686,0.027316190222065887,0.7
RevPAN (pickup),Lasso (CV),0.0004355472266134863,0.03268326452867432,0.6
RevPAN (pickup),RandomForest,-0.06517855727291086,0.07563190303296527,0.12
RevPAN (pickup),GradBoost,-0.3540029166959133,0.42806337196772115,0.0
ocupacao fevereiro,media (baseline),-0.006560426631293957,0.007923520345362823,0.0
ocupacao fevereiro,OLS,0.06458034065254338,0.050315585523178975,0.92
ocupacao fevereiro,Ridge (CV),0.0781838311172123,0.036049129723654434,1.0
ocupacao fevereiro,Lasso (CV),0.06118182502480362,0.03448940907931253,0.92
ocupacao fevereiro,RandomForest,0.03943235369202619,0.050356326752803965,0.84
ocupacao fevereiro,GradBoost,-0.04329538288048112,0.0731084080321014,0.32
RevPAN (ocupacao),media (baseline),-0.008907021681259598,0.014308821363849485,0.0
RevPAN (ocupacao),OLS,-0.09672179688715975,0.12913291625532877,0.18
RevPAN (ocupacao),Ridge (CV),0.06029611839439852,0.044831387950843946,0.8
RevPAN (ocupacao),Lasso (CV),0.018723906370459745,0.03571690540051669,0.52
RevPAN (ocupacao),RandomForest,-0.031164829427897597,0.12347527998134658,0.4
RevPAN (ocupacao),GradBoost,-1.9915899311267196,2.516134309121018,0.08
